feature,count,mean,std,min,25%,50%,75%,max
lab_count,312914.0,59.54556843094269,50.77555613032086,1.0,27.0,46.0,79.0,682.0
lab_per_hr,312914.0,2.625965620732731,4.407013534798755,0.041666666666666664,1.1666666666666667,1.9921079953617786,3.375,1200.0
lab_distinct_itemid,312914.0,34.616696600343865,18.973427224280556,0.0,24.0,33.0,45.0,183.0
chart_total,312914.0,1185.4664029094256,528.3405954682286,1.0,869.0,1191.0,1541.0,7232.0
chart_decision,312914.0,805.8097688182695,381.466057735889,0.0,567.0,801.0,1052.0,2999.0
chart_decision_per_hr,312914.0,35.09183497582081,14.825845538692661,0.0,25.375,34.208333333333336,44.291666666666664,463.91752577319585
consult_new,312914.0,0.2805179697936174,0.6436734112571745,0.0,0.0,0.0,0.0,9.0
consult_distinct_specialty,312914.0,0.2749829026505685,0.6229235926133001,0.0,0.0,0.0,0.0,9.0
consult_palliative_flag,312914.0,0.009871721942770218,0.09886507110724292,0.0,0.0,0.0,0.0,1.0
proc_count,312914.0,2.3065890308519275,2.5695709598204846,1.0,1.0,1.0,3.0,35.0
vent_setting_events,312914.0,4.488402564282838,8.43091951447514,1.0,1.0,3.0,7.0,752.0
vasoactive_events,312914.0,3.1857315428520296,5.768475140774529,1.0,1.0,1.0,1.0,118.0
sofa_max,308832.0,5.144722697129831,3.678702666029101,0.0,2.0,4.0,7.0,23.0
sofa_mean,308832.0,4.356812371972446,3.3378770027520033,0.0,1.9166666666666667,3.625,6.0,22.555555555555557
vent_any_on,312914.0,0.7050595371252165,0.45601672205915944,0.0,0.0,1.0,1.0,1.0
pressor_on,312914.0,0.2663095930511259,0.44202875259306096,0.0,0.0,0.0,1.0,1.0
