variable,OR,lci,uci,p,category,p_fdr
Long LOS (≥21 days),2.633142124393889,2.1321101993742375,3.2519132685038925,1.809867654397177e-20,risk,9.049338271985886e-20
Multimorbid (Charlson ≥5),1.7825357451199224,1.5740984078477562,2.018573722448967,2.543390757144521e-20,risk,9.537715339291954e-20
Repeat ICU user (≥1 prior stay),1.3200268732600469,1.1739245580288686,1.4843125430943116,3.407472015872476e-06,risk,8.51868003968119e-06
Died in hospital,2.7536581362438297,2.416737081626235,3.137549876215516,3.1262720178495058e-56,outcome,4.6894080267742585e-55
Male,1.0000727048200584,0.8913501561459785,1.1220567001979764,0.9959090609193472,risk,0.9959090609193472
Age ≥75 (vs <75),1.3597325888388165,1.207881429246476,1.5306740118553772,3.494246721710252e-07,risk,1.0482740165130756e-06
Black,1.1658229624863055,0.980184736194763,1.3866194092521384,0.08880836470497387,risk,0.12110231550678256
Hispanic/Latino,0.8842499035708382,0.643838225200603,1.2144322305831066,0.40774726308370113,risk,0.4741004949793053
Asian,0.8726972631457822,0.6098694563496418,1.248792680421609,0.41088709564873127,risk,0.4741004949793053
Widowed,1.1924437426478982,1.0035012035044495,1.4169610105244104,0.049018902792512344,risk,0.08169817132085391
Single,1.0005372883818286,0.8809409996981684,1.1363699337247952,0.9956944256669721,risk,0.9959090609193472
Divorced,1.2318002271128727,1.0079550051166057,1.5053566794281574,0.04577656578047289,risk,0.08169817132085391
Discharged to hospice,1.8269131308120439,1.4073186657404582,2.371610402664123,6.148484275478688e-06,outcome,1.3175323447454333e-05
Discharged home,0.3928783519867746,0.34198506667644857,0.4513454372727843,1.630650338228248e-42,outcome,1.222987753671186e-41
Discharged to facility,1.1115528583565457,0.9915612875967893,1.2460649405899695,0.06986149611032681,outcome,0.10479224416549023
